,igdb_game_string,igdb_series
247,assassins-creed-rogue,no
248,lego-marvels-avengers,yes
249,lego-jurassic-world,yes
250,lego-harry-potter-years-5-7,yes
251,dynasty-warriors-3-xtreme-legends,yes
252,the-bouncer,no
253,disney-tangled,no
254,brutal-legend,no
255,grand-theft-auto-vice-city-stories,yes
256,skylanders-spyros-adventure,no
257,grand-theft-auto-san-andreas,yes
258,lego-star-wars-ii-the-original-trilogy,yes
259,lego-pirates-of-the-caribbean-the-video-game,yes
260,shinobi,yes
261,lego-harry-potter-years-5-7,yes
262,ben-10-alien-force,yes
263,lego-batman-3-beyond-gotham,yes
264,skylanders-spyros-adventure,no
265,brutal-legend,no
266,castlevania-lament-of-innocence,yes
267,lego-batman-3-beyond-gotham,yes
268,bully,yes
269,spider-man,yes
270,bayonetta,yes
271,teenage-mutant-ninja-turtles,yes
272,monster-hunter-world,yes
273,teenage-mutant-ninja-turtles,yes
274,dantes-inferno,no
275,spongebob-squarepants-the-yellow-avenger,no
276,dynasty-warriors-7,yes
277,lego-pirates-of-the-caribbean-the-video-game,yes
278,james-camerons-avatar-the-game,no
279,3xtreme,yes
280,god-of-war-saga,yes
281,god-of-war-iii-remastered,yes
282,finding-nemo,yes
283,resident-evil-revelations,yes
284,the-tomb-raider-trilogy,yes
285,fortnite,no
286,star-wars-the-force-unleashed,yes
287,nba-2k6,yes
288,lego-harry-potter-collection,yes
289,lego-dimensions,yes
290,grand-theft-auto-iv,yes
291,warriors-orochi,yes
292,ghostbusters-the-video-game,yes
293,for-honor,no
294,dishonored-2,yes
295,bayonetta-2,yes
296,dynasty-warriors-4-xtreme-legends,yes
297,tomb-raider-anniversary,yes
298,army-men-air-attack,yes
299,thief,yes
300,ninja-gaiden-sigma-2,yes
301,disney-infinity-30,no
302,rampage-world-tour,yes
303,lego-jurassic-world,yes
304,ghostbusters-the-video-game,yes
305,spider-man-2,yes
306,the-incredibles,yes
307,lego-batman-3-beyond-gotham,yes
308,zombiu,yes
309,ben-10-protector-of-earth,yes
310,dynasty-warriors-2,yes
311,metal-gear-solid-v-the-phantom-pain,yes
312,lizzie-mcguire-2-lizzie-diaries,yes
313,twisted-metal-2012,no
314,custers-revenge,no
315,dmc-devil-may-cry,yes
316,dragon-quest-heroes-the-worlds-tree-woe-and-the-blight-below,no
317,lego-dimensions,yes
318,disneys-the-little-mermaid-ariels-undersea-adventure,yes
319,ben-10-alien-force,yes
320,star-wars-the-clone-wars-republic-heroes,yes
321,alien,no
322,assassins-creed-the-ezio-collection,yes
323,prototype-2,yes
324,madworld,no
325,lego-jurassic-world,yes
326,star-wars-the-force-unleashed-ii,yes
327,tom-clancys-splinter-cell-double-agent,no
328,star-wars-the-clone-wars-jedi-alliance,yes
329,hitman,yes
330,prototype-2,yes
331,air-raid,no
332,james-camerons-avatar-the-game,no
333,crystal-castles,no
334,fortnite,no
335,star-wars-episode-ii-attack-of-the-clones,yes
336,twisted-metal-head-on,yes
337,lego-marvel-super-heroes,yes
338,resident-evil-revelations,yes
339,mercenaries-playground-of-destruction,yes
340,toy-story-3-the-video-game,yes
341,assassins-creed-revelations,no
342,harry-potter-and-the-half-blood-prince,yes
343,true-crime-new-york-city,yes
344,quantum-break,no
345,genji-days-of-the-blade,yes
346,shark-tale,yes
347,the-lord-of-the-rings-conquest,yes
348,ace-combat-assault-horizon,yes
349,x-men-origins-wolverine-uncaged-edition,yes
350,madagascar-escape-2-africa,yes
351,the-lord-of-the-rings-the-two-towers,yes
352,pirates-of-the-caribbean-at-worlds-end,no
353,beyblade-vforce-ultimate-blader-jam,yes
354,god-eater,yes
355,indiana-jones-and-the-staff-of-kings,yes
356,star-wars-episode-iii-revenge-of-the-sith,yes
357,ultimate-spider-man,yes
358,monster-hunter-generations-ultimate,yes
359,ben-10-protector-of-earth,yes
360,lego-dimensions,yes
361,james-camerons-avatar-the-game,no
362,fear-effect,yes
363,the-lord-of-the-rings-the-two-towers,yes
364,scooby-doo-2-monsters-unleashed,yes
365,power-rangers-dino-thunder,yes
366,blast-corps,no
367,dynasty-warriors-6,yes
368,spider-man-2,yes
369,star-wars-obi-wan,yes
370,f-14-tomcat,no
371,james-bond-007-blood-stone,yes
372,transformers-revenge-of-the-fallen,yes
373,metal-gear-solid-hd-collection,yes
374,mafia,yes
375,king-kong,yes
376,metal-gear-solid-portable-ops-plus,yes
377,mortal-kombat-shaolin-monks,yes
378,prince-of-persia-the-forgotten-sands,yes
379,x-men-origins-wolverine-uncaged-edition,yes
380,the-lord-of-the-rings-the-return-of-the-king,yes
381,shrek-the-third,yes
382,shark-tale,yes
383,star-wars-masters-of-teras-kasi,yes
384,iron-man,yes
385,mercenaries-playground-of-destruction,yes
386,lego-harry-potter-years-5-7,yes
387,disney-tangled,no
388,lollipop-chainsaw,no
389,diablo-iii-eternal-collection,yes
390,spice-world,no
391,lego-marvel-super-heroes-2,yes
392,bakugan-battle-brawlers,no
393,adventures-of-tron,no
